source_file,relative,line_start,line_end,original_text,file_sha256,item_id,reviewer,verdict,historical_claim,historical_evidence_scope,current_evidence,reason,recommendation,manual_semantic_range
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\CURRENT_STATUS.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md,3,3,> 2026-09-06状态补充：历史工具/提案交付不等于当前回收安全。新审计H01确认旧目录日期可触发全部retired EvidenceSpan删除，未逐PK证明归档与恢复；没有实际误删证据。[WP01安全整改](../painpoint-outcome-audit-2026-09-05/remediation-plan.md)完成独立门之前不恢复worker、不按旧90天规则执行prune。D盘迁移仍取消，历史原文不重开。,505d5c33051dba2e83f8adc0973b1b9e04f4f83ea78e08f402b7d83ce6b08fa2,WIKI-LEGACY-SPECIAL-0001,history_filing,supported_scoped,> 2026-09-06状态补充：历史工具/提案交付不等于当前回收安全。新审计H01确认旧目录日期可触发全部retired EvidenceSpan删除，未逐PK证明归档与恢复；没有实际误删证据。[WP01安全整改](../painpoint-outcome-audit-2026-09-05/remediation-plan.md)完成独立门之前不恢复worker、不按旧90天规则执行prune。D盘迁移仍取消，历史原文不重开。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,prune/archive全文；root reviews/cross_history/current_recheck.json,当前解释承认历史完成不等于回收安全，取消迁盘/保留提案且不执行prune；已独立静态确认H01机制。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md:1-11
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\CURRENT_STATUS.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md,5,5,核对日期：2026-09-04。覆盖本目录 `task_plan.md`、`findings.md`、`progress.md`、`granularity-proposal.md`；四份已全文阅读，历史正文保留。,505d5c33051dba2e83f8adc0973b1b9e04f4f83ea78e08f402b7d83ce6b08fa2,WIKI-LEGACY-SPECIAL-0002,history_filing,supported_scoped,核对日期：2026-09-04。覆盖本目录 `task_plan.md`、`findings.md`、`progress.md`、`granularity-proposal.md`；四份已全文阅读，历史正文保留。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,prune/archive全文；root reviews/cross_history/current_recheck.json,当前解释承认历史完成不等于回收安全，取消迁盘/保留提案且不执行prune；已独立静态确认H01机制。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md:1-11
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\CURRENT_STATUS.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md,7,7,- 历史处置保持：Phase 1–4与ADR/工具收尾完成；Phase 5因D4不迁D盘取消；长期监控转交。旧空框不构成当前执行队列，也不据旧测试数字声称本次复验。,505d5c33051dba2e83f8adc0973b1b9e04f4f83ea78e08f402b7d83ce6b08fa2,WIKI-LEGACY-SPECIAL-0003,history_filing,supported_scoped,- 历史处置保持：Phase 1–4与ADR/工具收尾完成；Phase 5因D4不迁D盘取消；长期监控转交。旧空框不构成当前执行队列，也不据旧测试数字声称本次复验。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,prune/archive全文；root reviews/cross_history/current_recheck.json,当前解释承认历史完成不等于回收安全，取消迁盘/保留提案且不执行prune；已独立静态确认H01机制。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md:1-11
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\CURRENT_STATUS.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md,8,8,- 8/6–8/7的44/49GB、PID、spans与磁盘余量为当时测量，不是2026-09-04实测；不因旧90天保留期就自动运行prune。,505d5c33051dba2e83f8adc0973b1b9e04f4f83ea78e08f402b7d83ce6b08fa2,WIKI-LEGACY-SPECIAL-0004,history_filing,supported_scoped,- 8/6–8/7的44/49GB、PID、spans与磁盘余量为当时测量，不是2026-09-04实测；不因旧90天保留期就自动运行prune。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,prune/archive全文；root reviews/cross_history/current_recheck.json,当前解释承认历史完成不等于回收安全，取消迁盘/保留提案且不执行prune；已独立静态确认H01机制。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md:1-11
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\CURRENT_STATUS.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md,9,9,- 粒度提案仅完成“提案交付”，不是新parser或生产迁移通过。正文一方面要求旧locator保持有效，另一方面建议DELETE旧span后重解析；未来采用前必须证明版本化定位/归档可解析且下游引用不丢失，不能直接照旧命令执行。,505d5c33051dba2e83f8adc0973b1b9e04f4f83ea78e08f402b7d83ce6b08fa2,WIKI-LEGACY-SPECIAL-0005,history_filing,supported_scoped,- 粒度提案仅完成“提案交付”，不是新parser或生产迁移通过。正文一方面要求旧locator保持有效，另一方面建议DELETE旧span后重解析；未来采用前必须证明版本化定位/归档可解析且下游引用不丢失，不能直接照旧命令执行。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,prune/archive全文；root reviews/cross_history/current_recheck.json,当前解释承认历史完成不等于回收安全，取消迁盘/保留提案且不执行prune；已独立静态确认H01机制。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md:1-11
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\CURRENT_STATUS.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md,10,10,- 后续统一状态与实际GP余项见 [当前规划状态](../../../PLANNING_STATUS.md)。原FCAP r2不是当前唯一执行入口。,505d5c33051dba2e83f8adc0973b1b9e04f4f83ea78e08f402b7d83ce6b08fa2,WIKI-LEGACY-SPECIAL-0006,history_filing,supported_scoped,- 后续统一状态与实际GP余项见 [当前规划状态](../../../PLANNING_STATUS.md)。原FCAP r2不是当前唯一执行入口。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,prune/archive全文；root reviews/cross_history/current_recheck.json,当前解释承认历史完成不等于回收安全，取消迁盘/保留提案且不执行prune；已独立静态确认H01机制。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md:1-11
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\CURRENT_STATUS.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md,11,11,- 本次不查询大表、不实施归档/删除/迁移、不启动worker；新实施须另有明确授权、备份收据、只读对账、独立审查和回滚检查。,505d5c33051dba2e83f8adc0973b1b9e04f4f83ea78e08f402b7d83ce6b08fa2,WIKI-LEGACY-SPECIAL-0007,history_filing,supported_scoped,- 本次不查询大表、不实施归档/删除/迁移、不启动worker；新实施须另有明确授权、备份收据、只读对账、独立审查和回滚检查。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,prune/archive全文；root reviews/cross_history/current_recheck.json,当前解释承认历史完成不等于回收安全，取消迁盘/保留提案且不执行prune；已独立静态确认H01机制。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/CURRENT_STATUS.md:1-11
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\findings.md,docs/plans/catalog-space-remediation/findings.md,1,1,# 研究发现（catalog 空间治理）,d707f7af9031891111751a7aad67ffb72a8ad7517b66b34a43bbd06e8e524b9f,WIKI-LEGACY-SPECIAL-0008,history_filing,historical_only,# 研究发现（catalog 空间治理）,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,原文有日期的历史叙述；本轮不重跑生产、不以本轮测试反向证明当日计数/耗时/完整范围,旧磁盘/DB/计数/配置快照仅历史；抽样估计与全量数量不同粒度，未知问题未因此关闭。本轮不扫描个人磁盘/大表。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/findings.md:1-63
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\findings.md,docs/plans/catalog-space-remediation/findings.md,3,3,> 持续追加；每条记录日期、内容与影响。相关任务计划见 task_plan.md。,d707f7af9031891111751a7aad67ffb72a8ad7517b66b34a43bbd06e8e524b9f,WIKI-LEGACY-SPECIAL-0009,history_filing,historical_only,> 持续追加；每条记录日期、内容与影响。相关任务计划见 task_plan.md。,原文及所属阶段时间/配置/样本范围；不继承已PASS结论,原文有日期的历史叙述；本轮不重跑生产、不以本轮测试反向证明当日计数/耗时/完整范围,旧磁盘/DB/计数/配置快照仅历史；抽样估计与全量数量不同粒度，未知问题未因此关闭。本轮不扫描个人磁盘/大表。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/findings.md:1-63
C:\Users\郑曾波\Projects\company-wiki\docs\plans\catalog-space-remediation\findings.md,docs/plans/catalog-space-remediation/findings.md,5,5,"## 发现 1：G: 盘""满了""是 C: 盘的镜像，不是云配额问题",d707f7af9031891111751a7aad67ffb72a8ad7517b66b34a43bbd06e8e524b9f,WIKI-LEGACY-SPECIAL-0010,history_filing,historical_only,"## 发现 1：G: 盘""满了""是 C: 盘的镜像，不是云配额问题",原文及所属阶段时间/配置/样本范围；不继承已PASS结论,原文有日期的历史叙述；本轮不重跑生产、不以本轮测试反向证明当日计数/耗时/完整范围,旧磁盘/DB/计数/配置快照仅历史；抽样估计与全量数量不同粒度，未知问题未因此关闭。本轮不扫描个人磁盘/大表。,保留原始历史版本；将局部实现、生产消费和退休设计分别追踪，具体缺口见review.md,docs/plans/catalog-space-remediation/findings.md:1-63
