source_file,relative,line_start,line_end,original_text,file_sha256,item_id,reviewer,verdict,historical_claim,historical_evidence_scope,current_evidence,reason,recommendation,manual_semantic_range
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1597,1597,> Urgent recovery after accidental restore from git HEAD on 2026-07-25. Source text below was extracted from local Codex session JSONL and current repo evidence; keep this block until the full historical task_plan is reconstructed or committed.,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0001,history_filing,historical_only,> Urgent recovery after accidental restore from git HEAD on 2026-07-25. Source text below was extracted from local Codex session JSONL and current repo evidence; keep this block until the full historical task_plan is reconstructed or committed.,本原文对应日期/版本/样本，已PASS亦重新评估,task_plan_cw_recovery_20260725.md原恢复版本；本轮不读取私有session记录,恢复正文的来源/恢复可信度说明，仅说明文字如何找回，不证明实施或验收已发生。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1595-1604
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1601,1602,"> Source: local Codex session JSONL. Purpose: preserve overwritten uncommitted task_plan sections before merging back into `task_plan.md`.
> Recovery confidence: BOUNDARY-0/CW-1~CW-4, CW-2.26, and CW-2.27 are extracted from session logs; CW-2.25 is evidence-based partial recovery because no full `## CW-2.25` section has been found yet.",69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0002,history_filing,historical_only,"> Source: local Codex session JSONL. Purpose: preserve overwritten uncommitted task_plan sections before merging back into `task_plan.md`.
> Recovery confidence: BOUNDARY-0/CW-1~CW-4, CW-2.26, and CW-2.27 are extracted from session logs; CW-2.25 is evidence-based partial recovery because no full `## CW-2.25` section has been found yet.",本原文对应日期/版本/样本，已PASS亦重新评估,task_plan_cw_recovery_20260725.md原恢复版本；本轮不读取私有session记录,恢复正文的来源/恢复可信度说明，仅说明文字如何找回，不证明实施或验收已发生。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1595-1604
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1604,1605,"## Recovery A: BOUNDARY-0 and CW-1~CW-4
将项目收敛为 StockWiki 的上游“公司资料供应与来源智能平台”：可靠采集、不可变保存、规范化解析、证据定位、资料检索和可恢复自动化；不再生产化投资判断、估值、正式研究报告或第二套 accepted research state。",69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0003,history_filing,historical_only,"## Recovery A: BOUNDARY-0 and CW-1~CW-4
将项目收敛为 StockWiki 的上游“公司资料供应与来源智能平台”：可靠采集、不可变保存、规范化解析、证据定位、资料检索和可恢复自动化；不再生产化投资判断、估值、正式研究报告或第二套 accepted research state。",本原文对应日期/版本/样本，已PASS亦重新评估,task_plan_cw_recovery_20260725.md原恢复版本；本轮不读取私有session记录,恢复正文的来源/恢复可信度说明，仅说明文字如何找回，不证明实施或验收已发生。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1595-1604
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1607,1607,## BOUNDARY-0（与 StockWiki 的职责边界确立）— 状态：completed,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0004,history_filing,supported_scoped,## BOUNDARY-0（与 StockWiki 的职责边界确立）— 状态：completed,本原文对应日期/版本/样本，已PASS亦重新评估,AGENTS.md BOUNDARY-0；当前source_catalog和source_contract机制；旧v2为archived_reference,明确source-only边界及旧投资writer退役，当前AGENTS最高边界一致；旧研究/估值目标主动取消不能作为当前漏实现。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1605-1641
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1609,1609,> 本章节是 2026-07-16 起的最高优先级规划约束。下方既有 Phase、AUTO、RR、INV-MOD 和旧路线图保留为历史证据；凡与本章节冲突的任务均视为被本章节取代，不得继续实施。当前唯一活动计划文件是根目录 `task_plan.md`；`task_plan_v2.md` 与 `review_plan.md` 仅作历史参考。,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0005,history_filing,supported_scoped,> 本章节是 2026-07-16 起的最高优先级规划约束。下方既有 Phase、AUTO、RR、INV-MOD 和旧路线图保留为历史证据；凡与本章节冲突的任务均视为被本章节取代，不得继续实施。当前唯一活动计划文件是根目录 `task_plan.md`；`task_plan_v2.md` 与 `review_plan.md` 仅作历史参考。,本原文对应日期/版本/样本，已PASS亦重新评估,AGENTS.md BOUNDARY-0；当前source_catalog和source_contract机制；旧v2为archived_reference,明确source-only边界及旧投资writer退役，当前AGENTS最高边界一致；旧研究/估值目标主动取消不能作为当前漏实现。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1605-1641
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1613,1613,company-wiki 是上游来源系统，不是第二套投资研究系统。它向 StockWiki 提供稳定、可验证、可重放的资料输入；StockWiki 独占研究语义、人工证据裁决、投资模型和报告发布。,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0006,history_filing,supported_scoped,company-wiki 是上游来源系统，不是第二套投资研究系统。它向 StockWiki 提供稳定、可验证、可重放的资料输入；StockWiki 独占研究语义、人工证据裁决、投资模型和报告发布。,本原文对应日期/版本/样本，已PASS亦重新评估,AGENTS.md BOUNDARY-0；当前source_catalog和source_contract机制；旧v2为archived_reference,明确source-only边界及旧投资writer退役，当前AGENTS最高边界一致；旧研究/估值目标主动取消不能作为当前漏实现。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1605-1641
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1615,1615,| 能力 | company-wiki 权限 | StockWiki 权限 |,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0007,history_filing,supported_scoped,| 能力 | company-wiki 权限 | StockWiki 权限 |,本原文对应日期/版本/样本，已PASS亦重新评估,AGENTS.md BOUNDARY-0；当前source_catalog和source_contract机制；旧v2为archived_reference,明确source-only边界及旧投资writer退役，当前AGENTS最高边界一致；旧研究/估值目标主动取消不能作为当前漏实现。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1605-1641
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1617,1617,| 新闻、公告、财报、研报发现与下载 | **唯一 owner** | 只声明来源需求，不实现通用下载器 |,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0008,history_filing,supported_scoped,| 新闻、公告、财报、研报发现与下载 | **唯一 owner** | 只声明来源需求，不实现通用下载器 |,本原文对应日期/版本/样本，已PASS亦重新评估,AGENTS.md BOUNDARY-0；当前source_catalog和source_contract机制；旧v2为archived_reference,明确source-only边界及旧投资writer退役，当前AGENTS最高边界一致；旧研究/估值目标主动取消不能作为当前漏实现。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1605-1641
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1618,1618,| immutable raw、去重、哈希、source manifest | **唯一 owner** | 按 ID/hash 只读引用 |,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0009,history_filing,supported_scoped,| immutable raw、去重、哈希、source manifest | **唯一 owner** | 按 ID/hash 只读引用 |,本原文对应日期/版本/样本，已PASS亦重新评估,AGENTS.md BOUNDARY-0；当前source_catalog和source_contract机制；旧v2为archived_reference,明确source-only边界及旧投资writer退役，当前AGENTS最高边界一致；旧研究/估值目标主动取消不能作为当前漏实现。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1605-1641
C:\Users\郑曾波\Projects\company-wiki\task_plan.md,task_plan.md,1619,1619,| 文档规范化、页码/段落/表格解析、EvidenceSpan | **唯一 owner** | 消费并生成研究候选 |,69d941cd174589563b567d48343a76a10e4d5a691d66466504a167a0cda1809a,WIKI-LEGACY-CW-0010,history_filing,supported_scoped,| 文档规范化、页码/段落/表格解析、EvidenceSpan | **唯一 owner** | 消费并生成研究候选 |,本原文对应日期/版本/样本，已PASS亦重新评估,AGENTS.md BOUNDARY-0；当前source_catalog和source_contract机制；旧v2为archived_reference,明确source-only边界及旧投资writer退役，当前AGENTS最高边界一致；旧研究/估值目标主动取消不能作为当前漏实现。,依原需求保留未闭合范围，生产/部署/消费/独立验收分层；不修改旧收据,task_plan.md:1605-1641
