item_id,source_file,source_line,historical_state,conclusion,reason,review_mode
CA-001,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,15,accepted,insufficient_evidence,单writer/CAS可以保护控制文件，却不验证卡片目标是否仍等于冻结原始义务；缺当前并发破坏/恢复原始日志与原子义务语义一致性门。,manual_obligation_vs_evidence_scope
CA-002,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,25,accepted,insufficient_evidence,当前state仍绑定8月triplet；历史envfreeze不能证明今日HEAD/config/安装副本/数据一致。必须冻结当前输入并使任一漂移失效。,manual_obligation_vs_evidence_scope
CA-003,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,33,accepted,insufficient_evidence,当前CodeGraph找不到磁盘已有rolling_backtest和confidence_policy部分符号，索引notfound不能证明零调用者；缺按当前HEAD的全文件索引覆盖清单及冻结符号到实际入口逐项核对。此处不是以notfound反推生产缺陷。,manual_obligation_vs_evidence_scope
CA-004,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,42,accepted,supported_scoped,71FC逐ID投影存在且每项保留旧状态/原因/successor；仅证明迁移记录完整，不能证明successor兑现。其旧分类不直接继承为今日产品结论。,manual_obligation_vs_evidence_scope
CA-101,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,51,accepted,insufficient_evidence,117状态皆accepted是可读机器事实；状态迁移不验证原义务已完成，CA206/301/302的缩范围仍解锁终验；需强制未完成部署子节点。,manual_obligation_vs_evidence_scope
CA-102,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,58,accepted,insufficient_evidence,receipt支持canonical hash但自报commands/result文字不是原始执行证明；现有receipt未一致绑定stdout/stderr结果工件。需命令结果内容寻址与外部oracle。,manual_obligation_vs_evidence_scope
CA-103,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,65,accepted,contradicted,已读ZR605/CA302 reviewer发现被minor/info接受且无硬后继；未关闭finding不阻phase exit的实际链与原始目标不一致。历史87 receipt重签不能补做独立审查。,manual_obligation_vs_evidence_scope
CA-104,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,72,accepted,insufficient_evidence,抽读CA206/302命令保存command/exit/result摘要，缺本次完整不可变stdout/stderr hash；原义务要求的实际collected/skip/业务outcome尚不能从这些摘要验真。,manual_obligation_vs_evidence_scope
CA-105,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,79,accepted,insufficient_evidence,197单元registry建立和status变化是控制资产；原要求scenario×required tier×triplet，需逐tier真实结果，不能由197行passed数字替代。,manual_obligation_vs_evidence_scope
CA-106,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,86,accepted,contradicted,source_preparation把DAG缺失角色列表命名producer_events但未执行producer；CA302 side_effect=0描述同时容许2条registry写。独立计数语义尚不统一。,manual_obligation_vs_evidence_scope
CA-107,audit_review/2026-08-13_three_repo_completion_rebaseline_plan/completion_assurance_registry.md,93,accepted,contradicted,终局117accepted建立于已缩范围CA206/301/302；原closure须未满自然时间/真实旅程阻断，历史终态仍complete，不能证明总目标。,manual_obligation_vs_evidence_scope
