source_file,relative,line_start,line_end,original_text,file_sha256,item_id,reviewer,verdict,historical_claim,historical_evidence_scope,current_evidence,reason,recommendation,manual_semantic_range
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,3,4,"> 这份文件定义了 LLM 维护 company-wiki 时应遵循的行为规范。
> 2026-07-16 起，本文件的“职责边界”高于下方 legacy Wiki 兼容规范；所有 collect、ingest、parse、index、query、export 操作都必须遵守该边界。",d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0001,history_filing,supported_scoped,"> 这份文件定义了 LLM 维护 company-wiki 时应遵循的行为规范。
> 2026-07-16 起，本文件的“职责边界”高于下方 legacy Wiki 兼容规范；所有 collect、ingest、parse、index、query、export 操作都必须遵守该边界。",原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,8,8,company-wiki 是 StockWiki 的上游来源系统，负责：,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0002,history_filing,supported_scoped,company-wiki 是 StockWiki 的上游来源系统，负责：,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,10,10,- 新闻、公告、财报、研报的发现与下载；,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0003,history_filing,supported_scoped,- 新闻、公告、财报、研报的发现与下载；,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,11,11,- immutable raw、去重、SHA-256、source manifest 和来源版本；,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0004,history_filing,supported_scoped,- immutable raw、去重、SHA-256、source manifest 和来源版本；,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,12,12,- 文档规范化、页码/段落/表格解析、EvidenceSpan 与 extraction quality；,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0005,history_filing,supported_scoped,- 文档规范化、页码/段落/表格解析、EvidenceSpan 与 extraction quality；,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,13,13,- 全文检索、原文预览、带 `source_id + locator` 的资料型问答；,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0006,history_filing,supported_scoped,- 全文检索、原文预览、带 `source_id + locator` 的资料型问答；,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,14,14,- 对上述来源/解析任务进行可恢复自动化，并提供只读、版本化 export。,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0007,history_filing,supported_scoped,- 对上述来源/解析任务进行可恢复自动化，并提供只读、版本化 export。,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,16,16,StockWiki 独占投资研究语义和下游状态。company-wiki 不得生成或保存目标价、买入/卖出评级、仓位建议、估值/SOTP、正式研究报告或 accepted/rejected 投资结论；不得写入 StockWiki 的目录或数据库。`accepted` 若出现在上游，只能表示 source/extraction quality 通过质检，不能表示投资命题成立。,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0008,history_filing,supported_scoped,StockWiki 独占投资研究语义和下游状态。company-wiki 不得生成或保存目标价、买入/卖出评级、仓位建议、估值/SOTP、正式研究报告或 accepted/rejected 投资结论；不得写入 StockWiki 的目录或数据库。`accepted` 若出现在上游，只能表示 source/extraction quality 通过质检，不能表示投资命题成立。,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,18,18,历史公司/行业/主题 Wiki 只作为只读兼容内容或 source-oriented projection 保留，不再是 canonical 产品目标，不得新增研究型 writer。,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0009,history_filing,supported_scoped,历史公司/行业/主题 Wiki 只作为只读兼容内容或 source-oriented projection 保留，不再是 canonical 产品目标，不得新增研究型 writer。,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,22,22,这是一个面向上市公司资料的采集、不可变保存、规范化解析、证据定位、检索与导出系统。,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0010,history_filing,supported_scoped,这是一个面向上市公司资料的采集、不可变保存、规范化解析、证据定位、检索与导出系统。,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,24,24,- 原始资料及其 hash/manifest 是上游事实来源；,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0011,history_filing,supported_scoped,- 原始资料及其 hash/manifest 是上游事实来源；,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,25,25,- LLM 可辅助解析与资料定位，但输出必须绑定 source ID、locator、parser/version 和质量标记；,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0012,history_filing,supported_scoped,- LLM 可辅助解析与资料定位，但输出必须绑定 source ID、locator、parser/version 和质量标记；,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,26,26,- 人工可审核来源身份与解析质量，投资研究审核由 StockWiki 完成；,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0013,history_filing,supported_scoped,- 人工可审核来源身份与解析质量，投资研究审核由 StockWiki 完成；,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,27,27,- Markdown Wiki 属 legacy 兼容层，不得成为第二套 authoritative research state。,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0014,history_filing,supported_scoped,- Markdown Wiki 属 legacy 兼容层，不得成为第二套 authoritative research state。,原文完整阅读；现行规范与历史上下文分开,AGENTS BOUNDARY-0；root archive审查codegraph证据,现行source-only边界明确退役研究writer；规则是规范而非每条实现已达成。历史技术架构说明与当前保留模块相符。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:1-205
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,31,33,"- `config/source_catalog.yaml` 是生产配置：测试与调试**必须**使用 tmp 夹具，
  不得写穿生产文件；会话结束前 `git status` 必须能解释每个未提交的 config 变更，
  无法解释即事故，立即恢复并记录。",d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0015,history_filing,insufficient_evidence,"- `config/source_catalog.yaml` 是生产配置：测试与调试**必须**使用 tmp 夹具，
  不得写穿生产文件；会话结束前 `git status` 必须能解释每个未提交的 config 变更，
  无法解释即事故，立即恢复并记录。",原文完整阅读；现行规范与历史上下文分开,wiki GP002/doctor审查；filing FC805 v2 shadow关闭fixture,configdoctor声称发现配置问题及旧目录直接公司根/new raw可选仍与现代canonical/raw和注册adapter要求有缝；仅文档规范不证明runtime配置正确。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:31-52
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,34,35,"- 怀疑配置损坏时先跑 `python scripts/config_doctor.py`（exit≠0 即有问题）；
  控制面板菜单 7 也提供该体检。",d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0016,history_filing,insufficient_evidence,"- 怀疑配置损坏时先跑 `python scripts/config_doctor.py`（exit≠0 即有问题）；
  控制面板菜单 7 也提供该体检。",原文完整阅读；现行规范与历史上下文分开,wiki GP002/doctor审查；filing FC805 v2 shadow关闭fixture,configdoctor声称发现配置问题及旧目录直接公司根/new raw可选仍与现代canonical/raw和注册adapter要求有缝；仅文档规范不证明runtime配置正确。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:31-52
C:\Users\郑曾波\Projects\company-wiki\AGENTS.md,AGENTS.md,39,39,- `companies/{公司名}/` — 公司所有原始文档（新闻 .md、财报/研报 .pdf 直接存放）,d7daf574abb2bc97a1947ed62df31f0227b872ef339a5a4ae869abb8ced0927a,WIKI-LEGACY-CONTEXT-0017,history_filing,insufficient_evidence,- `companies/{公司名}/` — 公司所有原始文档（新闻 .md、财报/研报 .pdf 直接存放）,原文完整阅读；现行规范与历史上下文分开,wiki GP002/doctor审查；filing FC805 v2 shadow关闭fixture,configdoctor声称发现配置问题及旧目录直接公司根/new raw可选仍与现代canonical/raw和注册adapter要求有缝；仅文档规范不证明runtime配置正确。,统一活动入口边界，保留历史但标明superseded；不得把历史数量当当前真值,AGENTS.md:31-52
