item_id,relative,line_start,line_end,historical_status,verdict,reason,current_independent_evidence,original_text
FFH-0001,task_plan.md,3,3,checked_complete_or_pass_claim,superseded,根计划明确被FCAP/R4取代；六阶段完成仅旧范围，不能据此关闭三市场生产目标。,TERMINAL_NOTICE.json; PLANNING_STATUS.md:45–58,> **2026-08-09 状态覆盖：`completed_historical_scope`。** 本文件的 v1.3.0 六阶段、75 项旧范围工作保持已完成；其测试数字和 live 证据是历史快照。最新要求增加了统一 resolver、Dropbox-only、latest 单次闭环、SourceBundle、current-triplet CI 和持续动态审核，统一由 revenue-forecast 的 [FCAP r2](../revenue-forecast/audit_review/2026-08-09_full_completion_assurance_plan/task_plan.md) 接管。本文件不再新增同类待办，也不能单独证明六项目标完成。
FFH-0002,task_plan.md,5,5,checked_complete_or_pass_claim,historical_only,9/9 HEAD、CI绿和干净树是当日观察；CI设计只覆盖synthetic，不能移植为9/19真实闭环。,filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,> **2026-09-09 深夜状态（只读核对，不新增待办）**：本仓当前 HEAD `bb8d485`、工作树干净；CI（`quality.yml`，含 `--require-revenue-config` 与 `$GITHUB_WORKSPACE` 符号链接）最近一次推送全绿。E2E 设计已于 `bb8d485` 提交：**harness 明确为 synthetic T1 范围，不代表真实数据 E2E**；真实原文/CLI/provider 层路由到 R4 测试矩阵（L/P/VR/AR），见 [e2e/E2E_DESIGN.md](e2e/E2E_DESIGN.md)。filing 的消费面证据仍在 R4 审计目录 [filing-audit.md](../company-wiki/docs/plans/painpoint-outcome-audit-2026-09-05/filing-audit.md) 与最新 [current-delta-2026-09-09.md](../company-wiki/docs/plans/painpoint-outcome-audit-2026-09-05/current-delta-2026-09-09.md)；本轮未改代码/配置/任务。
FFH-0003,task_plan.md,7,11,historical_requirement_or_finding,insufficient_evidence,三层基础设施存在，但当前生产配置、真实provider及消费review gate不在同一验收闭环；本轮实际三市场0/3。,revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json; filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,"## 目标
修复审查发现的契约漂移（错误分类、文档、失效测试），并建立覆盖
『A股/港股/美股 × 文档已存在/不存在/部分存在』全场景矩阵的三层测试体系：
mock 单元测试（快）+ 隔离实例真实 E2E（真实 company-wiki 代码/临时状态）+
生产 live 一致性测试（少量）。"
FFH-0004,task_plan.md,16,16,historical_requirement_or_finding,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",| D1 | 错误码契约方向 | 实现对齐 SKILL.md：真正产生 config_error / identity_error / not_found / worker_paused |
FFH-0005,task_plan.md,17,17,historical_requirement_or_finding,insufficient_evidence,三层基础设施存在，但当前生产配置、真实provider及消费review gate不在同一验收闭环；本轮实际三市场0/3。,revenue-forecast/audit_review/2026-09-18_real_company_skill_audit/runs/02–13; independent/acquisition_aftercheck.json; filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,| D2 | E2E 基础设施 | 全量真实 company-wiki（真实代码 + 隔离临时实例）；下载场景用真实 StockInfoDLSimple / dayu-agent |
FFH-0006,task_plan.md,18,18,historical_requirement_or_finding,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,| D3 | Git 基线 | 不提交，v1.2.0 未提交改动与本次修改一并进行 |
FFH-0007,task_plan.md,21,21,historical_requirement_or_finding,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,- 66 tests pass（60 mock + 6 real-tool，其中 2 个 skip），耗时 ~32s；ruff 0.15.18 clean
FFH-0008,task_plan.md,22,22,historical_requirement_or_finding,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,- 工作区含未提交 v1.2.0（catalog_locked 重试）；根目录有垃圾文件 `nul`
FFH-0009,task_plan.md,23,23,historical_requirement_or_finding,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,- 无 pyproject.toml / pytest.ini / coverage 配置；测试用 `python -m unittest discover -s tests`
FFH-0010,task_plan.md,27,27,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",## Phase 1 — 代码契约修复 — 状态：completed
