source_file,relative,line_start,line_end,original_text,file_sha256,canonical,canonical_line_start,canonical_line_end,mapping,item_id,reviewer,verdict,reason,current_evidence,canonical_semantic_review,recommendation
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,3,3,## Goal,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,5,5,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0001,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,[],以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,5,5,"将知识库从""半自动研究助理""升级为""可自维持的研究助理""，并系统性修复架构债务。",bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,7,7,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0002,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,"[{'item_id': 'WIKI-LEGACY-WR-0002', 'verdict': 'superseded', 'reason': '原研究助手目标已被7/16 source-only边界主动退役，不能把旧投研缺失当成当前bug。', 'current_evidence': 'AGENTS BOUNDARY-0；根1605–1641'}]",以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,7,7,## Current Phase,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,9,9,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0003,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,[],以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,11,11,## Phases,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,240,240,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0004,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,[],以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,13,13,### Phase 1: 止血 — 修复每日错误数据,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,242,242,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0005,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,[],以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,14,14,- [x] 修复 classify_pdf 半年报/季报分类,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,243,243,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0006,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,"[{'item_id': 'WIKI-LEGACY-WR-0159', 'verdict': 'superseded', 'reason': '4月研究Wiki/LLM评估/反馈等旧阶段后来被source-only退役；原完成仅旧目标版本。Phase8/9自述模板空洞、元数据缺失与SKIPPED不能提升为内容质量验收。', 'current_evidence': 'AGENTS7/16；原文Phase8/9缺陷数和重复Phase7；legacy archive待映射'}]",以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,15,15,- [x] 修复 collect_news 配置 key 不匹配,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,244,244,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0007,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,"[{'item_id': 'WIKI-LEGACY-WR-0160', 'verdict': 'superseded', 'reason': '4月研究Wiki/LLM评估/反馈等旧阶段后来被source-only退役；原完成仅旧目标版本。Phase8/9自述模板空洞、元数据缺失与SKIPPED不能提升为内容质量验收。', 'current_evidence': 'AGENTS7/16；原文Phase8/9缺陷数和重复Phase7；legacy archive待映射'}]",以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,16,16,- [x] 添加 URL 黑名单过滤,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,245,245,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0008,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,"[{'item_id': 'WIKI-LEGACY-WR-0161', 'verdict': 'superseded', 'reason': '4月研究Wiki/LLM评估/反馈等旧阶段后来被source-only退役；原完成仅旧目标版本。Phase8/9自述模板空洞、元数据缺失与SKIPPED不能提升为内容质量验收。', 'current_evidence': 'AGENTS7/16；原文Phase8/9缺陷数和重复Phase7；legacy archive待映射'}]",以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,17,17,- [x] 重处理已损坏条目的日期,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,246,246,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0009,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,"[{'item_id': 'WIKI-LEGACY-WR-0162', 'verdict': 'superseded', 'reason': '4月研究Wiki/LLM评估/反馈等旧阶段后来被source-only退役；原完成仅旧目标版本。Phase8/9自述模板空洞、元数据缺失与SKIPPED不能提升为内容质量验收。', 'current_evidence': 'AGENTS7/16；原文Phase8/9缺陷数和重复Phase7；legacy archive待映射'}]",以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
C:\Users\郑曾波\Projects\company-wiki\.recover-task_plan-before-cw-merge-20260725-115819.md,.recover-task_plan-before-cw-merge-20260725-115819.md,18,18,- [x] 删除明显垃圾条目,bc73a980ac565a603bd7d2d8f95aafd54e4db5c34c9551b0c7219bafee9bbf76,task_plan.md,247,247,"exact text block within >=3-line exact run; same semantic text, retain source version identifier",WIKI-LEGACY-RECOVERY-0010,history_filing,historical_only,逐块同文本映射至已全文独立审查的根原文；保留本恢复版本hash/行号/原状态，不把后继完成倒灌到旧版本。共同内容的证据范围/问题见canonical_semantic_review；恢复草稿已归档，不是新待办。,recovery_exact_mapping.json exact >=3line run；cw/wr逐项ledger,"[{'item_id': 'WIKI-LEGACY-WR-0163', 'verdict': 'superseded', 'reason': '4月研究Wiki/LLM评估/反馈等旧阶段后来被source-only退役；原完成仅旧目标版本。Phase8/9自述模板空洞、元数据缺失与SKIPPED不能提升为内容质量验收。', 'current_evidence': 'AGENTS7/16；原文Phase8/9缺陷数和重复Phase7；legacy archive待映射'}]",以版本+原claim+后继supersedes追踪，勿自动同步checkbox或重写历史
