source_file,relative,line_start,line_end,original_text,file_sha256,item_id,event_id,reviewer,verdict,historical_claim,historical_evidence_scope,current_evidence,reason,recommendation
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,6,6,## [2026-04-23 22:43] INFO collect_news | scheduler采集 16 篇新文章,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0001,WIKI-LEGACY-EVENT-0001,history_filing,historical_only,## [2026-04-23 22:43] INFO collect_news | scheduler采集 16 篇新文章,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,22 scheduler sum checks; remaining five older aggregate-only receipts,"Per-company sums match all scheduler collection headers; counts/duplicates do not prove correct identity, relevance, persistence or downstream use; no URL/hash manifest in this telemetry.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,7,7,- 寒武纪: +16,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0002,WIKI-LEGACY-EVENT-0001,history_filing,historical_only,- 寒武纪: +16,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,22 scheduler sum checks; remaining five older aggregate-only receipts,"Per-company sums match all scheduler collection headers; counts/duplicates do not prove correct identity, relevance, persistence or downstream use; no URL/hash manifest in this telemetry.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,9,9,"## [2026-04-23 22:52] INFO ingest | scheduler处理 40 文件, +109 条目, 0 错误",df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0003,WIKI-LEGACY-EVENT-0002,history_filing,historical_only,"## [2026-04-23 22:52] INFO ingest | scheduler处理 40 文件, +109 条目, 0 错误",原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,old audit_worklog and cross_verify report; source-only later retires research writer,"Input/output counts and topic fanout do not prove source fidelity; no immutable source/attempt/code hash or raw stdout is linked. Mixed download lines are a separate operation, not proof the ingest succeeded.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,11,11,"## [2026-04-23 22:53] INFO lint | scheduler矛盾检测: 1366522 潜在, 0 高置信度",df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0004,WIKI-LEGACY-EVENT-0003,history_filing,historical_only,"## [2026-04-23 22:53] INFO lint | scheduler矛盾检测: 1366522 潜在, 0 高置信度",原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,all 22 numeric lints independently count ERROR/WARNING detail rows; specific broken_link/config/frontmatter/cross_refs archetypes reviewed,"Each event severity totals and every detail line retained; zero error only means this linter scope. Missing/broken links, generic-name discovery and candidate contradictions do not validate financial truth. Details omit INFO and often exact page context.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,13,13,## [2026-04-23 22:53] INFO enrich | scheduler投资判断: 1 公司,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0005,WIKI-LEGACY-EVENT-0004,history_filing,superseded,## [2026-04-23 22:53] INFO enrich | scheduler投资判断: 1 公司,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,AGENTS BOUNDARY-0; original dated counts retained,"Old assessment/judgment/compression write counts are retired research functionality, not current source platform acceptance; compression size reduction does not demonstrate preserved evidence.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,15,15,## [2026-04-23 22:53] INFO scheduler | 调度周期完成,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0006,WIKI-LEGACY-EVENT-0005,history_filing,historical_only,## [2026-04-23 22:53] INFO scheduler | 调度周期完成,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,original Apr22 7075–7194; current source-only different worker reviewed separately,"Cycle completed is control flow completion, not all tasks successful: old Apr22 repeatedly processed files with zero added entries and 1–5 errors; no attempt ID lets adjacent concurrent events correlate reliably.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,16,16,- elapsed=631s,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0007,WIKI-LEGACY-EVENT-0005,history_filing,historical_only,- elapsed=631s,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,original Apr22 7075–7194; current source-only different worker reviewed separately,"Cycle completed is control flow completion, not all tasks successful: old Apr22 repeatedly processed files with zero added entries and 1–5 errors; no attempt ID lets adjacent concurrent events correlate reliably.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,17,17,- collect=+16,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0008,WIKI-LEGACY-EVENT-0005,history_filing,historical_only,- collect=+16,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,original Apr22 7075–7194; current source-only different worker reviewed separately,"Cycle completed is control flow completion, not all tasks successful: old Apr22 repeatedly processed files with zero added entries and 1–5 errors; no attempt ID lets adjacent concurrent events correlate reliably.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,18,18,- ingest=40/109,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0009,WIKI-LEGACY-EVENT-0005,history_filing,historical_only,- ingest=40/109,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,original Apr22 7075–7194; current source-only different worker reviewed separately,"Cycle completed is control flow completion, not all tasks successful: old Apr22 repeatedly processed files with zero added entries and 1–5 errors; no attempt ID lets adjacent concurrent events correlate reliably.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
C:\Users\郑曾波\Projects\company-wiki\log.md,log.md,19,19,- assess=+0,df59049403825cb23593818d2b7b23606eead2ee85d6399954df98932efe9eb9,WIKI-LEGACY-BIZ-0010,WIKI-LEGACY-EVENT-0005,history_filing,historical_only,- assess=+0,原事件工程遥测和证据充足性；重复同文本逐版本保留，未逐个复核投资事实,original Apr22 7075–7194; current source-only different worker reviewed separately,"Cycle completed is control flow completion, not all tasks successful: old Apr22 repeatedly processed files with zero added entries and 1–5 errors; no attempt ID lets adjacent concurrent events correlate reliably.",用run/source/code/config hash与机器状态链接真实消费结果，区分fixture日志；旧投资writer不恢复
