entity,market,kind,period_start,period_end,fiscal_year,provider,id,filed_at,accepted_at,amended,url,case_id,case_name,local_context,remote_context
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,z-old,2026-03-01,2026-03-01,false,https://example.org/filings/z-old.pdf,C01,G-D1 正向(远端更新/ID序相反),"local: z-old annual_report|2024-07-01|2025-06-30, capture_ready","remote: a-new filed 2026-04-01 (ID 字典序 < z-old), z-old; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,a-new,2026-04-01,2026-04-01,false,https://example.org/filings/a-new.pdf,C01,G-D1 正向(远端更新/ID序相反),"local: z-old annual_report|2024-07-01|2025-06-30, capture_ready","remote: a-new filed 2026-04-01 (ID 字典序 < z-old), z-old; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,a-new,2026-04-01,2026-04-01,false,https://example.org/filings/a-new.pdf,C02,G-D1 反向(本地更新/远端仅旧),"local: a-new annual_report|2024-07-01|2025-06-30, capture_ready","remote: 仅 z-old filed 2026-03-01; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,z-old,2026-03-01,2026-03-01,false,https://example.org/filings/z-old.pdf,C02,G-D1 反向(本地更新/远端仅旧),"local: a-new annual_report|2024-07-01|2025-06-30, capture_ready","remote: 仅 z-old filed 2026-03-01; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,a-base,2026-04-01,2026-04-01,false,https://example.org/filings/a-base.pdf,C03,G-D2 同日有修订链,"local: 无 (空 catalog)","remote: a-base(amended=false) + a-2026-04-01-amend(amended=true, filed 同 2026-04-01); as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,a-2026-04-01-amend,2026-04-01,2026-04-01,true,https://example.org/filings/a-base-amend.pdf,C03,G-D2 同日有修订链,"local: 无 (空 catalog)","remote: a-base(amended=false) + a-2026-04-01-amend(amended=true, filed 同 2026-04-01); as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,a-base,2026-04-01,2026-04-01,false,https://example.org/filings/a-base.pdf,C04,G-D3 同日无修订关系,"local: 无 (空 catalog)","remote: a-base(amended=false) + b-rev(amended=false, filed 同 2026-04-01); as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,b-rev,2026-04-01,2026-04-01,false,https://example.org/filings/b-rev.pdf,C04,G-D3 同日无修订关系,"local: 无 (空 catalog)","remote: a-base(amended=false) + b-rev(amended=false, filed 同 2026-04-01); as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,a-annual,2024-07-01,2025-06-30,false,https://example.org/filings/a-annual.pdf,C05,G-D2 annual/interim/quarter 同 FY 不合并,"local: 无 (空 catalog)","remote: annual(period 2024-07-01→2025-06-30) + interim(2024-07-01→2024-12-31) + quarter(2025-01-01→2025-03-31), 均同一 fiscal_year=2025; as_of=2026-07-31"
ACME,US,interim_report,2024-07-01,2024-12-31,2025,fake-provider,a-interim,2025-02-15,2025-02-15,false,https://example.org/filings/a-interim.pdf,C05,G-D2 annual/interim/quarter 同 FY 不合并,"local: 无 (空 catalog)","remote: annual(period 2024-07-01→2025-06-30) + interim(2024-07-01→2024-12-31) + quarter(2025-01-01→2025-03-31), 均同一 fiscal_year=2025; as_of=2026-07-31"
ACME,US,quarterly_report,2025-01-01,2025-03-31,2025,fake-provider,a-quarter,2025-05-10,2025-05-10,false,https://example.org/filings/a-quarter.pdf,C05,G-D2 annual/interim/quarter 同 FY 不合并,"local: 无 (空 catalog)","remote: annual(period 2024-07-01→2025-06-30) + interim(2024-07-01→2024-12-31) + quarter(2025-01-01→2025-03-31), 均同一 fiscal_year=2025; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,,fake-provider,fy25-key,2026-04-01,2026-04-01,false,https://example.org/filings/fy25-key.pdf,C06,G-D2 非日历FY键形态(period齐/缺fiscal_year),"local: 无 (空 catalog)","remote: 唯一候选 filed 2026-04-01, period_start/end 齐全, fiscal_year 缺失; as_of=2026-07-31"
ACME,US,annual_report,,,,fake-provider,no-period,2026-04-01,2026-04-01,false,https://example.org/filings/no-period.pdf,C07,G-D3 缺 period_start/period_end,"local: 无 (空 catalog)","remote: 唯一候选缺 period_start/period_end; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,no-dates,,,false,https://example.org/filings/no-dates.pdf,C08,G-D3 缺 filed_at 与 accepted_at,"local: 无 (空 catalog)","remote: 唯一候选双日期缺失; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,bad-acc,2026-04-01,2026-03-01,false,https://example.org/filings/bad-acc.pdf,C09,G-D3 日期冲突(accepted<filed),"local: 无 (空 catalog)","remote: 唯一候选 accepted_at 早于 filed_at; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,(none),,,,(none),C10,G-D4 provider 空成功,"local: 无 (空 catalog)","remote: 成功响应, 候选集为空, 无穷尽性声明; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,(none),,,,(none),C11,G-D4 provider 异常,"local: z-old annual_report|2024-07-01|2025-06-30, capture_ready","remote: discover 抛错/不可达; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,z-old,2026-03-01,2026-03-01,false,https://example.org/filings/z-old.pdf,C12,G-D4 本地完整覆盖,"local: z-old annual_report|2024-07-01|2025-06-30, capture_ready, provider_document_id=z-old","remote: 仅返回同 accession z-old filed 2026-03-01; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,a-future,2026-08-01,2026-08-01,false,https://example.org/filings/a-future.pdf,C13,G-D4 未来披露,"local: 无 (空 catalog)","remote: 唯一候选 filed 2026-08-01 > as_of 2026-07-31; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,miss-p1,2026-04-01,2026-04-01,false,https://example.org/filings/miss-p1.pdf,C14,G-D4 3缺口全批完成,"local: 无 (空 catalog)","remote: 3 个不同期候选 P1(2023-07-01→2024-06-30)/P2(2022-07-01→2023-06-30)/P3(2021-07-01→2022-06-30), 均可解析; as_of=2026-07-31"
ACME,US,annual_report,2022-07-01,2023-06-30,2023,fake-provider,miss-p2,2026-04-01,2026-04-01,false,https://example.org/filings/miss-p2.pdf,C14,G-D4 3缺口全批完成,"local: 无 (空 catalog)","remote: 3 个不同期候选 P1(2023-07-01→2024-06-30)/P2(2022-07-01→2023-06-30)/P3(2021-07-01→2022-06-30), 均可解析; as_of=2026-07-31"
