source_file,relative,line_start,line_end,original_text,file_sha256,item_id,reviewer,verdict,historical_claim,historical_evidence_scope,current_evidence,reason,recommendation,manual_semantic_range
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,3,3,## 2026-08-02 NFC parser 缺陷修复完成 — 已修复并生产生效,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0001,history_filing,historical_only,## 2026-08-02 NFC parser 缺陷修复完成 — 已修复并生产生效,逐日期事件/历史样本；不同版本不合并裁决,wr_item_ledger.jsonl；WR1–7/8–9/10.7/10.13/Step6实际acceptance,逐事件保留原日期/PID/hash/测试观察与后继纠偏，非本轮重跑或今天生产健康声明。主root相应WR条目和真实收据独立对照。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:1-300
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,5,5,- **根因**：`normalizer.py _pymupdf_page_snapshots`（743 行起）在提取表格 `data` 时未对字符串单元格做 NFC 规范化（`table.extract()` 原样返回），而 `pdf_page_aware._cell_value`（pdf_page_aware.py:235）严格校验 NFC → 含非 NFC 字符（如 U+2126 OHM SIGN `Ω`→`Ω`）的表格单元格触发 `PageAwarePDFAdapterError: table cell must use Unicode NFC`。page narrative（805 行）和 table markdown（773 行）已用 `_nfc_lf` 规范化，唯独 `data`（764 行）遗漏 → 不一致。,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0002,history_filing,supported_scoped,- **根因**：`normalizer.py _pymupdf_page_snapshots`（743 行起）在提取表格 `data` 时未对字符串单元格做 NFC 规范化（`table.extract()` 原样返回），而 `pdf_page_aware._cell_value`（pdf_page_aware.py:235）严格校验 NFC → 含非 NFC 字符（如 U+2126 OHM SIGN `Ω`→`Ω`）的表格单元格触发 `PageAwarePDFAdapterError: table cell must use Unicode NFC`。page narrative（805 行）和 table markdown（773 行）已用 `_nfc_lf` 规范化，唯独 `data`（764 行）遗漏 → 不一致。,逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,6,6,- **修复**：`_pymupdf_page_snapshots` 中 `data` 提取对 str 单元格应用 `_nfc_lf`（normalizer.py:764-768），与 narrative/markdown 路径一致。,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0003,history_filing,supported_scoped,- **修复**：`_pymupdf_page_snapshots` 中 `data` 提取对 str 单元格应用 `_nfc_lf`（normalizer.py:764-768），与 narrative/markdown 路径一致。,逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,7,7,- **验证**：,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0004,history_filing,supported_scoped,- **验证**：,逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,8,8,  - 盈建科招股书 PDF 修复前 FAIL（`PageAwarePDFAdapterError`）→ 修复后 `completed`/`partial`，25363 evidence spans，fingerprint `completed`。,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0005,history_filing,supported_scoped,  - 盈建科招股书 PDF 修复前 FAIL（`PageAwarePDFAdapterError`）→ 修复后 `completed`/`partial`，25363 evidence spans，fingerprint `completed`。,逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,9,9,  - 时代新材招股书 PDF 修复后 `completed`，8211 evidence spans，fingerprint `completed`。,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0006,history_filing,supported_scoped,  - 时代新材招股书 PDF 修复后 `completed`，8211 evidence spans，fingerprint `completed`。,逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,10,10,  - 新增回归测试 `test_snapshot_builder_normalizes_non_nfc_table_cells`（U+2126 场景）。,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0007,history_filing,supported_scoped,  - 新增回归测试 `test_snapshot_builder_normalizes_non_nfc_table_cells`（U+2126 场景）。,逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,11,11,"- **顺带修复**：`test_corrupt_pdf_remains_fail_closed_and_source_immutable` 第 244 行过时断言 `failed==1` 改为 `unsupported==1, failed==0`（与 WR-10.13 确定性损坏→unsupported 语义一致；此前 WR-10.13 改语义时未同步此测试）。",a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0008,history_filing,supported_scoped,"- **顺带修复**：`test_corrupt_pdf_remains_fail_closed_and_source_immutable` 第 244 行过时断言 `failed==1` 改为 `unsupported==1, failed==0`（与 WR-10.13 确定性损坏→unsupported 语义一致；此前 WR-10.13 改语义时未同步此测试）。",逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,12,12,"- **生产数据修复**（用户确认""仅重置这 2 份""）：pause worker → 备份 2 份文档 artifacts/fingerprint 行（`wr-10-13-nfc-fix-reset-backup-20260802.json`）→ 删除 failed normalized artifact + fingerprint 重置 pending → resume。新 worker（PID 3540，Code `41f08db2c5f1` MATCH）自动重新处理。生产库 `failed_terminal` 从 7→5。",a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0009,history_filing,supported_scoped,"- **生产数据修复**（用户确认""仅重置这 2 份""）：pause worker → 备份 2 份文档 artifacts/fingerprint 行（`wr-10-13-nfc-fix-reset-backup-20260802.json`）→ 删除 failed normalized artifact + fingerprint 重置 pending → resume。新 worker（PID 3540，Code `41f08db2c5f1` MATCH）自动重新处理。生产库 `failed_terminal` 从 7→5。",逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
C:\Users\郑曾波\Projects\company-wiki\findings.md,findings.md,13,13,- **回归**：pdf_page_aware + liveness + backfill + pdf_page_aware_parser = 64 passed；Ruff 通过。,a45b89d5e801a5c7584e93e77453ba743b9280ce09fa4bb50bf98429273d9f5f,WIKI-LEGACY-LOG-0010,history_filing,supported_scoped,- **回归**：pdf_page_aware + liveness + backfill + pdf_page_aware_parser = 64 passed；Ruff 通过。,逐日期事件/历史样本；不同版本不合并裁决,normalizer _pymupdf_page_snapshots；2文档reset备份；64局部tests，不外推PDF全集,NFC cell正规化遗漏与后继两真实PDF解析记录支持这两样本修复；失败转terminal本身并不说明文件不合法。,保留原尝试与证据范围，后继supersedes按claim绑定；不可用checkbox/测试数代替业务门禁,findings.md:5-13
